SimulationTime neuron_model_spike neuron_model_stateCURRENT_voltage_v neuron_model_stateCURRENT_time_lastSpikeTime neuron_model_stateCURRENT_conductance_SynapseModel_g neuron_model_stateCURRENT_current_SynapseModel_i 
0.000000e+00 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
5.006790e-05 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.001358e-04 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.502037e-04 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.002716e-04 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.503395e-04 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
3.004074e-04 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
3.504753e-04 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
4.005432e-04 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
4.506111e-04 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
5.006790e-04 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
5.507469e-04 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
6.008148e-04 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
6.508827e-04 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
7.009506e-04 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
7.510185e-04 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
8.010864e-04 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
8.511543e-04 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
9.012222e-04 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
9.512901e-04 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.001358e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.051426e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.101494e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.151562e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.201630e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.251698e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.301765e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.351833e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.401901e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.451969e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.502037e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.552105e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.602173e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.652241e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.702309e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.752377e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.802444e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.852512e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.902580e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.952648e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.002716e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.052784e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.102852e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.152920e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.202988e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.253056e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.303123e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.353191e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.403259e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.453327e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.503395e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.553463e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.603531e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.653599e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.703667e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.753735e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.803802e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.853870e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.903938e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.954006e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
3.004074e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
3.054142e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
3.104210e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
3.154278e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
3.204346e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
3.254414e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
3.304482e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
3.354549e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
3.404617e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
3.454685e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
3.504753e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
3.554821e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
3.604889e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
3.654957e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
3.705025e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
3.755093e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
3.805161e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
3.855228e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
3.905296e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
3.955364e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
4.005432e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
4.055500e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
4.105568e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
4.155636e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
4.205704e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
4.255772e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
4.305840e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
4.355907e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
4.405975e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
4.456043e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
4.506111e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
4.556179e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
4.606247e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
4.656315e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
4.706383e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
4.756451e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
4.806519e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
4.856586e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
4.906654e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
4.956722e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
5.006790e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
5.056858e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
5.106926e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
5.156994e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
5.207062e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
5.257130e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
5.307198e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
5.357265e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
5.407333e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
5.457401e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
5.507469e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
5.557537e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
5.607605e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
5.657673e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
5.707741e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
5.757809e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
5.807877e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
5.857944e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
